Date,Open,High,Low,Close,Volume,Date_str
2019-09-24,553.7680264163764,578.3482253501293,553.3895073211065,569.3978271484375,34958974,2019-09-24
2019-09-25,571.7577776639475,576.6560528769686,565.0116138141937,569.7762451171875,18192270,2019-09-25
2019-09-26,575.3201696805687,578.3481436646135,571.5351576129076,577.4575805664062,18350457,2019-09-26
2019-09-27,575.5427367462845,585.5618675686828,571.7577251633637,582.912353515625,19058663,2019-09-27
2019-09-30,583.3355036590597,594.8018310804109,581.3539114942233,593.2432861328125,25263770,2019-09-30
2019-10-01,595.3584688773351,597.5849362038297,575.8990695365911,581.0645141601562,17920384,2019-10-01
2019-10-03,572.6484099833085,585.4283468989939,570.5555272924099,583.8030395507812,13524851,2019-10-03
2019-10-04,587.7438805028344,591.6179488730752,580.5969035775893,582.4893798828125,14992253,2019-10-04
2019-10-07,582.4893213904081,588.144574835985,579.6394603175088,583.3799438476562,10061584,2019-10-07
2019-10-09,582.7565862132678,592.2190862816494,575.5427876036466,589.9035034179688,17588647,2019-10-09
2019-10-10,590.0148840590675,609.6078075068975,588.2336983910574,606.8247680664062,35006390,2019-10-10
2019-10-11,607.2478597469002,608.0939542953357,595.1581364982143,602.3051147460938,16597126,2019-10-11
2019-10-14,607.8043907217964,607.8043907217964,601.525742419961,604.7095947265625,13394275,2019-10-14
2019-10-15,606.7133758781993,610.0531062053814,603.0619484845057,607.4481201171875,9672791,2019-10-15
2019-10-16,610.0086398066982,614.350224276401,607.2477751806866,611.099609375,19403660,2019-10-16
2019-10-17,612.2796626348761,622.9667180114293,610.9437584190024,621.8534545898438,16038940,2019-10-17
2019-10-18,625.1931291335094,635.835655393317,622.8330774763288,630.6925048828125,28121951,2019-10-18
2019-10-22,634.5443461443608,639.8210816740099,624.9037320804972,629.7129516601562,27786502,2019-10-22
2019-10-23,630.6702340196068,634.967289889059,615.9087056654171,620.0276489257812,18446160,2019-10-23
2019-10-24,623.8572069872114,641.8471160772802,617.4227401722367,639.6428833007812,22642488,2019-10-24
2019-10-25,641.7135207744709,641.8693395842341,628.4214807350571,637.3051147460938,13539957,2019-10-25
2019-10-27,641.6690699300784,643.450255707178,636.7707941805185,638.663330078125,3014841,2019-10-27
2019-10-29,643.6728963240666,659.0355270409135,642.1588794964196,653.2689819335938,25768505,2019-10-29
2019-10-30,659.0353968990061,661.0615168704819,650.2631136728371,658.6346435546875,16341366,2019-10-30
2019-10-31,660.8167008364321,663.3326309021771,650.8866244956587,652.066650390625,19463741,2019-10-31
2019-11-01,647.9031106067357,650.931084439674,641.6689908799688,648.7491455078125,13904301,2019-11-01
2019-11-04,652.7568529986388,655.0278484266997,643.494758660676,649.0831909179688,14063434,2019-11-04
2019-11-05,651.5101133118455,654.1150403827486,641.669092754645,644.4744262695312,12685356,2019-11-05
2019-11-06,642.4260127980896,644.0958483615741,636.1028363395386,638.9526977539062,14625505,2019-11-06
2019-11-07,638.9972836207461,651.4654644310114,637.7504358146491,649.5062255859375,14084039,2019-11-07
2019-11-08,645.2313964399264,649.973734129593,641.8026095996164,643.6728515625,12019353,2019-11-08
2019-11-11,640.8229381763804,643.116227364074,633.4533203520368,635.7911376953125,11357841,2019-11-11
2019-11-13,636.7708042321007,657.2098236579902,636.7708042321007,655.6067504882812,25225749,2019-11-13
2019-11-14,657.2541931939941,659.74782893942,648.2592694711562,651.3540649414062,14258133,2019-11-14
2019-11-15,652.6455360789673,662.0635083106531,651.5322727628634,654.9610595703125,15691605,2019-11-15
2019-11-18,655.7625618479275,661.7072190766786,648.0812471500655,649.7733764648438,14076051,2019-11-18
2019-11-19,653.2466089025762,674.5762480267925,652.3560458473484,672.282958984375,30176255,2019-11-19
2019-11-20,692.4548704769278,700.1807137682292,687.1781352632569,689.15966796875,43538120,2019-11-20
2019-11-21,687.9795281342566,692.8777434782081,680.6544394680069,684.684326171875,14897371,2019-11-21
2019-11-22,686.6881628798455,698.8892327274816,684.6843366720202,688.6474609375,22352865,2019-11-22
2019-11-25,690.7181960629307,696.7964379518986,690.6513741041939,695.3492431640625,15146156,2019-11-25
2019-11-26,698.2658738469718,701.9395355965804,692.8777890541031,694.7703247070312,35330983,2019-11-26
2019-11-27,694.6368205516004,701.5611571283956,692.9223973101485,699.0452270507812,9642739,2019-11-27
2019-11-28,700.291873305439,705.4127887362664,696.4178649335888,703.6984252929688,13747479,2019-11-28
2019-11-29,704.4331672085468,704.4331672085468,689.2486511776627,690.7181396484375,18559594,2019-11-29
2019-12-02,712.4707069047425,718.9051729789268,702.2289355140384,706.459228515625,31225364,2019-12-02
2019-12-03,709.2423692080436,709.7989413715627,700.2696792384197,703.0750122070312,12990426,2019-12-03
2019-12-04,700.4479011474155,702.4517277091587,682.9700937922422,691.408447265625,20987607,2019-12-04
2019-12-05,700.8931920091011,703.4536503052666,687.5343877206762,690.5846557617188,19942460,2019-12-05
2019-12-06,691.5420265271395,698.2214285325554,686.2429974104203,692.3880615234375,13085234,2019-12-06
2019-12-09,692.9446250588585,702.4071251649631,688.6475096381411,700.2697143554688,12642677,2019-12-09
2019-12-10,700.0248063059641,700.7150224336392,692.0540287591915,695.52734375,10173333,2019-12-10
2019-12-11,692.6997496186247,701.1158091150277,690.4732823124417,695.727783203125,12364641,2019-12-11
2019-12-12,699.2232816841165,700.8263546736185,693.1672744072167,698.3104248046875,10326606,2019-12-12
2019-12-13,703.5648862571924,708.0178801238153,700.1806870147386,704.8562622070312,12668303,2019-12-13
2019-12-16,708.9084715750772,709.754506556987,696.5961092046571,697.5980224609375,11892718,2019-12-16
2019-12-17,697.6648093043032,703.1196573453843,692.6775366524988,695.8613891601562,20324601,2019-12-17
2019-12-18,695.9948420003209,703.5648058632917,695.5495604995814,701.7168579101562,14742077,2019-12-18
2019-12-19,700.7595863676426,719.1057222184004,699.9135513793175,716.9014892578125,20507816,2019-12-19
2019-12-20,719.1502234523015,720.2857211455093,710.7341642408371,712.070068359375,21271510,2019-12-20
2019-12-23,694.703552662622,702.4739238931126,693.6794050834533,699.7354125976562,25107772,2019-12-23
2019-12-24,698.622205476839,700.0248722166903,686.866414747346,688.6253662109375,18048449,2019-12-24
2019-12-26,686.4878562421779,691.5196564072455,672.461071963697,674.7988891601562,29761019,2019-12-26
2019-12-27,679.9642205190581,688.5138629847464,677.4260565589568,686.7994995117188,17677571,2019-12-27
2019-12-30,688.4025633432205,689.1595418713921,680.4317869225332,687.623291015625,17123749,2019-12-30
2019-12-31,686.6437000385328,687.4007381135765,671.5260051917422,674.19775390625,22203005,2019-12-31
2020-01-01,675.9566705310696,680.0088516309808,670.3905321258029,672.2161865234375,14004468,2020-01-01
2020-01-02,673.2849207275859,686.1762083080744,673.2849207275859,683.6602783203125,17710316,2020-01-02
2020-01-03,682.6361230710287,686.487957480382,678.1831882354902,684.484130859375,20984698,2020-01-03
2020-01-06,676.8473838070747,680.365168055788,667.050890914757,668.6094360351562,24519177,2020-01-06
2020-01-07,676.4019343098523,683.304036115152,673.9528263419015,678.8956298828125,16683622,2020-01-07
2020-01-08,674.6208587574616,683.2817936051865,672.394391396721,673.7970581054688,16047902,2020-01-08
2020-01-09,685.1297860788776,690.2061149022059,681.8568773480174,689.3155517578125,14982742,2020-01-09
